job_name,mult,energy_hartree,normal_term,opt_converged,xyz_path
random_d1.50_009_m3,3,-14.15860915884,True,False,results/01_xtb_xyz/random_d1.50_009_m3.xyz
random_d2.10_005_m3,3,-14.14772906456,True,False,results/01_xtb_xyz/random_d2.10_005_m3.xyz
zigzag_chain12_d1.50_m1,1,-14.13958128095,True,False,results/01_xtb_xyz/zigzag_chain12_d1.50_m1.xyz
random_d2.10_007_m1,1,-14.13506332045,True,False,results/01_xtb_xyz/random_d2.10_007_m1.xyz
random_d1.90_005_m1,1,-14.13133719031,True,False,results/01_xtb_xyz/random_d1.90_005_m1.xyz
random_d1.70_005_m1,1,-14.12502908375,True,False,results/01_xtb_xyz/random_d1.70_005_m1.xyz
random_d1.90_009_m3,3,-14.10934040688,True,False,results/01_xtb_xyz/random_d1.90_009_m3.xyz
random_d2.10_002_m3,3,-14.1060426498,True,False,results/01_xtb_xyz/random_d2.10_002_m3.xyz
random_d2.10_002_m1,1,-14.10534095549,True,False,results/01_xtb_xyz/random_d2.10_002_m1.xyz
zigzag_chain12_d1.70_m1,1,-14.0995001991,True,False,results/01_xtb_xyz/zigzag_chain12_d1.70_m1.xyz
random_d2.10_007_m3,3,-14.09114640285,True,False,results/01_xtb_xyz/random_d2.10_007_m3.xyz
random_d1.90_005_m3,3,-14.07471416706,True,False,results/01_xtb_xyz/random_d1.90_005_m3.xyz
zigzag_chain12_d1.50_m3,3,-14.07452728838,True,True,results/01_xtb_xyz/zigzag_chain12_d1.50_m3.xyz
zigzag_chain12_d1.70_m3,3,-14.07010383089,True,False,results/01_xtb_xyz/zigzag_chain12_d1.70_m3.xyz
zigzag_chain12_d1.90_m1,1,-14.0619731423,True,False,results/01_xtb_xyz/zigzag_chain12_d1.90_m1.xyz
zigzag_chain12_d2.10_m1,1,-14.06196722751,True,False,results/01_xtb_xyz/zigzag_chain12_d2.10_m1.xyz
zigzag_chain12_d2.10_m3,3,-14.05931377742,True,False,results/01_xtb_xyz/zigzag_chain12_d2.10_m3.xyz
zigzag_chain12_d1.90_m3,3,-14.05927198275,True,False,results/01_xtb_xyz/zigzag_chain12_d1.90_m3.xyz
random_d1.70_005_m3,3,-14.03315006606,True,False,results/01_xtb_xyz/random_d1.70_005_m3.xyz
random_d1.70_006_m3,3,-13.86563334587,True,False,results/01_xtb_xyz/random_d1.70_006_m3.xyz
random_d2.10_005_m1,1,-13.45955257265,False,False,results/01_xtb_xyz/random_d2.10_005_m1.xyz
random_d2.10_009_m1,1,,False,False,results/01_xtb_xyz/random_d2.10_009_m1.xyz
test_xtb_fix,,,False,False,
random_d2.10_009_m3,3,,False,False,results/01_xtb_xyz/random_d2.10_009_m3.xyz
