structure_order,job_name,short_label,motif_label,seed_distance_ang,mult,status,numfreq_energy_hartree,min_freq_cm1,n_imag_strict,mode_index,mode_number,frequency_cm1,mode_class,normal_term,structure_color
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,28,29,941.82,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,29,30,941.91,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,30,31,1083.7,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,31,32,1083.99,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,32,33,1136.68,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,33,34,1138.81,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,34,35,1142.71,real,True,#0F766E
1,double_ring_6_6_d1.90_m1_r2scan,Double ring 6+6 (M=1),Double ring 6+6,1.9,1,OK_NO_IMAG,-297.805239047221,0.0,0,35,36,1143.95,real,True,#0F766E
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,0,1,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,1,2,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,2,3,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,3,4,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,4,5,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,5,6,0.0,zero,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,6,7,59.11,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,7,8,59.3,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,8,9,78.46,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,9,10,78.97,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,10,11,122.32,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,11,12,123.18,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,12,13,189.26,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,13,14,189.26,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,14,15,278.48,real,True,#B45309
2,ring12_d1.70_m1_r2scan,Ring12 (M=1),Ring12,1.7,1,OK_NO_IMAG,-297.56448454649,0.0,0,15,16,279.84,real,True,#B45309
